iter	Passed	Remaining
402	12903	19114
403	12937	19086
404	12968	19052
405	13000	19019
406	13035	18993
407	13083	18984
408	13122	18961
409	13159	18936
410	13193	18907
411	13227	18878
412	13261	18849
413	13294	18818
414	13328	18788
415	13363	18760
416	13399	18733
417	13432	18703
418	13470	18679
419	13504	18648
420	13535	18615
421	13566	18581
422	13597	18547
423	13630	18516
424	13662	18485
425	13693	18451
426	13724	18417
427	13757	18385
428	13791	18356
429	13824	18325
430	13856	18292
431	13887	18259
432	13920	18228
433	13953	18197
434	13987	18167
435	14023	18140
436	14055	18108
437	14088	18077
438	14121	18046
439	14155	18015
440	14188	17985
441	14220	17952
442	14245	17910
443	14275	17876
444	14307	17844
445	14317	17784
446	14348	17751
447	14380	17718
448	14413	17687
449	14446	17656
450	14479	17625
451	14510	17592
452	14542	17559
453	14573	17526
454	14606	17495
455	14636	17461
456	14668	17429
457	14701	17397
458	14734	17366
459	14768	17336
460	14800	17304
461	14810	17247
462	14843	17216
463	14878	17187
464	14914	17159
465	14947	17128
466	14979	17096
467	15012	17065
468	15043	17032
469	15077	17002
470	15109	16970
471	15142	16939
472	15175	16907
473	15207	16875
474	15239	16843
475	15273	16813
476	15305	16781
477	15337	16749
478	15369	16717
479	15402	16686
480	15435	16655
481	15469	16624
482	15499	16590
483	15531	16558
484	15563	16526
485	15597	16496
486	15631	16465
487	15658	16428
488	15690	16396
489	15723	16365
490	15757	16334
491	15788	16301
492	15821	16271
493	15853	16238
494	15886	16207
495	15919	16176
496	15951	16144
497	15983	16111
498	16015	16080
499	16046	16046
500	16081	16017
501	16120	15991
502	16153	15960
503	16180	15923
504	16213	15892
505	16245	15859
506	16277	15827
507	16312	15798
508	16343	15765
509	16357	15716
510	16389	15683
511	16422	15652
512	16456	15622
513	16489	15591
514	16522	15559
515	16554	15528
516	16588	15497
517	16622	15466
518	16655	15436
519	16688	15404
520	16722	15374
521	16755	15343
522	16788	15311
523	16819	15278
524	16851	15246
525	16883	15214
526	16919	15185
527	16952	15154
528	16985	15123
529	17018	15092
530	17051	15060
531	17084	15029
532	17118	14998
533	17151	14967
534	17183	14935
535	17216	14903
536	17249	14872
537	17285	14843
538	17318	14812
539	17350	14779
540	17384	14749
541	17418	14718
542	17450	14686
543	17482	14654
544	17514	14622
545	17546	14590
546	17579	14558
547	17612	14527
548	17651	14500
549	17688	14472
550	17729	14447
551	17768	14420
552	17822	14406
553	17858	14377
554	17897	14349
555	17936	14323
556	17969	14291
557	18001	14259
558	18034	14227
559	18067	14196
560	18100	14164
561	18133	14132
562	18169	14103
563	18201	14070
564	18237	14041
565	18277	14014
566	18315	13986
567	18356	13961
568	18398	13936
569	18434	13906
570	18468	13875
571	18505	13846
572	18537	13814
573	18570	13782
574	18602	13749
575	18634	13717
576	18666	13684
577	18699	13652
578	18733	13621
579	18764	13588
580	18797	13555
581	18829	13523
582	18861	13491
583	18895	13459
584	18927	13427
585	18960	13395
586	18992	13362
587	19024	13330
588	19056	13297
589	19087	13264
590	19119	13231
591	19152	13199
592	19185	13167
593	19217	13135
594	19254	13105
595	19286	13073
596	19318	13040
597	19351	13009
598	19383	12976
599	19416	12944
600	19447	12911
601	19484	12881
602	19519	12851
603	19551	12818
604	19584	12786
605	19615	12753
606	19647	12720
607	19679	12688
608	19711	12655
609	19744	12623
610	19777	12591
611	19809	12559
612	19841	12526
613	19874	12494
614	19908	12463
615	19941	12431
616	19975	12399
617	20008	12367
618	20039	12334
619	20072	12302
620	20103	12269
621	20146	12243
622	20183	12214
623	20221	12184
624	20257	12154
625	20295	12125
626	20330	12094
627	20367	12064
628	20408	12037
629	20440	12004
630	20470	11971
631	20502	11938
632	20534	11905
633	20565	11872
634	20597	11839
635	20629	11807
636	20662	11774
637	20693	11741
638	20726	11709
639	20760	11677
640	20791	11644
641	20823	11611
642	20867	11586
643	20906	11557
644	20941	11525
645	20974	11493
646	21006	11461
647	21039	11429
648	21072	11396
649	21105	11364
650	21140	11333
651	21173	11301
652	21207	11269
653	21240	11237
654	21271	11203
655	21304	11171
656	21340	11141
657	21372	11108
658	21406	11076
659	21438	11044
660	21470	11011
661	21504	10979
662	21537	10947
663	21571	10915
664	21604	10883
665	21639	10852
666	21671	10819
667	21704	10787
668	21738	10755
669	21770	10722
670	21803	10690
671	21837	10658
672	21869	10626
673	21904	10594
674	21937	10562
675	21971	10530
676	22002	10497
677	22035	10465
678	22067	10432
679	22103	10401
680	22134	10368
681	22169	10336
682	22204	10305
683	22239	10274
684	22273	10242
685	22308	10211
686	22342	10179
687	22377	10148
688	22410	10115
689	22445	10084
690	22476	10051
691	22510	10018
692	22542	9986
693	22574	9953
694	22607	9921
695	22640	9889
696	22672	9856
697	22705	9823
698	22736	9790
699	22768	9758
700	22801	9725
701	22839	9695
702	22874	9664
703	22909	9632
704	22943	9600
705	22979	9569
706	23013	9537
707	23047	9505
708	23080	9473
709	23115	9441
710	23149	9409
711	23184	9378
712	23217	9345
713	23251	9313
714	23286	9282
715	23320	9249
716	23353	9217
717	23385	9184
718	23416	9151
719	23468	9126
720	23526	9103
721	23580	9079
722	23623	9050
723	23667	9022
724	23723	8998
725	23768	8970
726	23808	8940
727	23851	8911
728	23889	8880
729	23930	8850
730	23968	8820
731	24005	8788
732	24040	8756
733	24075	8724
734	24112	8693
735	24146	8661
736	24182	8629
737	24216	8597
738	24251	8565
739	24287	8533
740	24321	8500
741	24359	8470
742	24395	8438
743	24433	8407
744	24471	8376
745	24507	8344
746	24555	8316
747	24598	8287
748	24645	8259
749	24685	8228
750	24726	8198
751	24769	8168
752	24817	8140
753	24863	8112
754	24903	8081
755	24945	8051
756	24987	8021
757	25030	7991
758	25073	7961
759	25116	7931
760	25164	7903
761	25215	7875
762	25262	7846
763	25374	7838
764	25415	7807
765	25466	7779
766	25523	7753
767	25570	7724
768	25627	7698
769	25676	7669
770	25723	7640
771	25763	7608
772	25833	7586
773	25879	7556
774	25927	7527
775	25969	7496
776	26010	7464
777	26051	7433
778	26092	7402
779	26137	7372
780	26175	7339
781	26218	7309
782	26260	7277
783	26305	7247
784	26345	7215
785	26389	7185
786	26428	7152
787	26469	7121
788	26516	7091
789	26562	7060
790	26606	7029
791	26645	6997
792	26686	6966
793	26731	6935
794	26768	6902
795	26809	6870
796	26846	6837
797	26880	6804
798	26914	6770
799	26948	6737
800	26984	6703
801	27022	6671
802	27058	6638
803	27091	6604
804	27125	6570
805	27157	6536
806	27190	6502
807	27225	6469
808	27259	6435
809	27291	6401
810	27327	6368
811	27358	6334
812	27391	6300
813	27422	6266
814	27456	6232
815	27488	6198
816	27522	6164
817	27555	6130
818	27588	6097
819	27620	6063
820	27654	6029
821	27685	5995
822	27717	5961
823	27749	5927
824	27781	5893
825	27815	5859
826	27848	5825
827	27881	5791
828	27915	5758
829	27948	5724
830	27979	5690
831	28012	5656
832	28043	5622
833	28075	5588
834	28110	5554
835	28148	5521
836	28183	5488
837	28215	5454
838	28247	5420
839	28279	5386
840	28312	5352
841	28346	5319
842	28382	5285
843	28415	5252
844	28447	5218
845	28483	5185
846	28522	5152
847	28559	5119
848	28597	5086
849	28643	5054
850	28694	5024
851	28737	4991
852	28781	4959
853	28824	4927
854	28868	4895
855	28910	4863
856	28949	4830
857	28987	4797
858	29023	4764
859	29058	4730
860	29090	4696
861	29122	4662
862	29158	4628
863	29191	4594
864	29223	4560
865	29255	4526
866	29287	4492
867	29320	4458
868	29352	4424
869	29389	4391
870	29429	4358
871	29469	4325
872	29508	4292
873	29549	4259
874	29593	4227
875	29634	4194
876	29680	4162
877	29727	4130
878	29767	4097
879	29805	4064
880	29842	4030
881	29880	3997
882	29915	3963
883	29950	3930
884	29986	3896
885	30023	3863
886	30056	3829
887	30089	3795
888	30122	3761
889	30157	3727
890	30193	3693
891	30227	3659
892	30260	3625
893	30295	3592
894	30329	3558
895	30361	3524
896	30393	3489
897	30426	3456
898	30458	3421
899	30494	3388
900	30531	3354
901	30570	3321
902	30612	3288
903	30651	3254
904	30688	3221
905	30723	3187
906	30759	3153
907	30794	3120
908	30828	3086
909	30862	3052
910	30896	3018
911	30930	2984
912	30964	2950
913	30996	2916
914	31031	2882
915	31065	2848
916	31099	2814
917	31132	2780
918	31164	2746
919	31196	2712
920	31228	2678
921	31261	2644
922	31293	2610
923	31326	2576
924	31360	2542
925	31394	2508
926	31426	2474
927	31459	2440
928	31491	2406
929	31524	2372
930	31557	2338
931	31588	2304
932	31634	2271
933	31667	2237
934	31698	2203
935	31732	2169
936	31766	2135
937	31798	2101
938	31830	2067
939	31862	2033
940	31895	1999
941	31929	1965
942	31965	1932
943	32000	1898
944	32035	1864
945	32070	1830
946	32105	1796
947	32141	1763
948	32178	1729
949	32212	1695
950	32246	1661
951	32278	1627
952	32311	1593
953	32344	1559
954	32378	1525
955	32412	1491
956	32448	1457
957	32481	1424
958	32514	1390
959	32550	1356
960	32582	1322
961	32613	1288
962	32646	1254
963	32678	1220
964	32710	1186
965	32743	1152
966	32775	1118
967	32808	1084
968	32840	1050
969	32874	1016
970	32906	982
971	32939	948
972	32970	914
973	33002	880
974	33035	847
975	33068	813
976	33101	779
977	33133	745
978	33167	711
979	33199	677
980	33236	643
981	33272	609
982	33305	575
983	33338	542
984	33369	508
985	33401	474
986	33434	440
987	33467	406
988	33498	372
989	33539	338
990	33581	304
991	33629	271
992	33669	237
993	33707	203
994	33742	169
995	33783	135
996	33819	101
997	33855	67
998	33891	33
999	33928	0
