iter	Passed	Remaining
403	9933	39240
404	9960	39227
405	9989	39221
406	10018	39212
407	10052	39224
408	10089	39246
409	10128	39278
410	10160	39281
411	10195	39296
412	10224	39289
413	10259	39305
414	10289	39296
415	10315	39277
416	10341	39258
417	10368	39242
418	10393	39219
419	10420	39201
420	10445	39177
421	10472	39159
422	10498	39138
423	10524	39117
424	10548	39092
425	10570	39056
426	10596	39036
427	10622	39014
428	10646	38988
429	10672	38968
430	10699	38948
431	10724	38927
432	10750	38903
433	10758	38819
434	10773	38760
435	10785	38690
436	10811	38669
437	10831	38627
438	10857	38606
439	10882	38584
440	10896	38521
441	10921	38497
442	10946	38472
443	10972	38451
444	10997	38428
445	11015	38382
446	11036	38344
447	11060	38318
448	11086	38297
449	11115	38287
450	11141	38267
451	11170	38257
452	11192	38223
453	11215	38191
454	11240	38169
455	11266	38148
456	11292	38128
457	11317	38104
458	11343	38083
459	11369	38062
460	11396	38044
461	11421	38022
462	11448	38004
463	11472	37976
464	11497	37955
465	11523	37932
466	11552	37923
467	11582	37915
468	11609	37896
469	11633	37871
470	11658	37847
471	11683	37823
472	11709	37802
473	11734	37777
474	11760	37756
475	11784	37729
476	11809	37705
477	11833	37679
478	11854	37641
479	11880	37621
480	11888	37543
481	11913	37520
482	11938	37494
483	11964	37475
484	11988	37449
485	12013	37425
486	12038	37400
487	12064	37378
488	12088	37354
489	12113	37328
490	12138	37306
491	12166	37290
492	12192	37270
493	12216	37242
494	12241	37219
495	12266	37195
496	12275	37123
497	12300	37098
498	12325	37076
499	12351	37053
500	12378	37035
501	12404	37015
502	12429	36991
503	12449	36953
504	12474	36929
505	12499	36906
506	12526	36888
507	12551	36864
508	12577	36843
509	12602	36818
510	12623	36784
511	12648	36760
512	12674	36737
513	12699	36715
514	12724	36692
515	12750	36669
516	12774	36643
517	12800	36623
518	12826	36601
519	12851	36578
520	12876	36554
521	12903	36534
522	12928	36512
523	12955	36491
524	12979	36465
525	13005	36445
526	13031	36423
527	13057	36402
528	13081	36376
529	13108	36357
530	13133	36334
531	13161	36318
532	13187	36295
533	13195	36225
534	13220	36201
535	13240	36165
536	13265	36139
537	13290	36116
538	13315	36092
539	13336	36058
540	13360	36032
541	13387	36011
542	13411	35987
543	13438	35968
544	13447	35901
545	13473	35879
546	13497	35854
547	13524	35836
548	13552	35819
549	13577	35795
550	13602	35772
551	13628	35749
552	13655	35730
553	13680	35708
554	13705	35683
555	13731	35661
556	13756	35639
557	13784	35622
558	13808	35595
559	13834	35575
560	13860	35553
561	13887	35534
562	13911	35508
563	13937	35487
564	13963	35465
565	13989	35444
566	14017	35426
567	14041	35401
568	14067	35379
569	14093	35356
570	14102	35292
571	14126	35267
572	14156	35255
573	14183	35236
574	14207	35209
575	14233	35189
576	14257	35162
577	14285	35144
578	14309	35118
579	14334	35095
580	14358	35069
581	14387	35053
582	14413	35031
583	14438	35009
584	14464	34986
585	14490	34966
586	14517	34945
587	14542	34922
588	14567	34898
589	14594	34877
590	14620	34857
591	14646	34834
592	14653	34768
593	14679	34747
594	14707	34730
595	14724	34687
596	14750	34664
597	14776	34642
598	14801	34619
599	14828	34600
600	14841	34547
601	14866	34523
602	14892	34501
603	14918	34481
604	14931	34428
605	14956	34404
606	14981	34381
607	15008	34362
608	15034	34340
609	15061	34321
610	15090	34306
611	15108	34265
612	15135	34247
613	15163	34228
614	15189	34206
615	15213	34182
616	15241	34164
617	15266	34140
618	15293	34120
619	15318	34095
620	15345	34077
621	15371	34054
622	15397	34032
623	15422	34008
624	15460	34013
625	15484	33987
626	15510	33965
627	15535	33940
628	15561	33918
629	15586	33893
630	15611	33869
631	15636	33846
632	15658	33814
633	15682	33789
634	15707	33764
635	15733	33742
636	15759	33720
637	15785	33697
638	15809	33673
639	15835	33650
640	15856	33617
641	15881	33592
642	15906	33569
643	15914	33510
644	15939	33485
645	15964	33460
646	15989	33438
647	16016	33417
648	16042	33394
649	16066	33369
650	16095	33352
651	16122	33332
652	16151	33316
653	16176	33292
654	16185	33235
655	16209	33210
656	16235	33186
657	16260	33163
658	16285	33140
659	16311	33117
660	16324	33067
661	16349	33044
662	16374	33020
663	16403	33003
664	16435	32994
665	16465	32981
666	16490	32956
667	16516	32934
668	16541	32909
669	16566	32886
670	16592	32864
671	16619	32843
672	16643	32817
673	16670	32795
674	16694	32770
675	16711	32731
676	16736	32707
677	16762	32683
678	16787	32659
679	16812	32635
680	16839	32615
681	16864	32591
682	16877	32543
683	16902	32519
684	16927	32495
685	16944	32455
686	16968	32430
687	16992	32403
688	17004	32355
689	17031	32334
690	17042	32285
691	17068	32262
692	17093	32238
693	17120	32218
694	17149	32201
695	17174	32176
696	17198	32151
697	17223	32127
698	17250	32106
699	17275	32082
700	17299	32057
701	17325	32035
702	17351	32012
703	17377	31989
704	17402	31965
705	17428	31943
706	17453	31920
707	17466	31874
708	17492	31851
709	17517	31827
710	17543	31804
711	17568	31781
712	17594	31759
713	17619	31734
714	17645	31712
715	17670	31689
716	17687	31650
717	17715	31630
718	17740	31606
719	17766	31585
720	17792	31562
721	17817	31538
722	17849	31526
723	17878	31510
724	17903	31485
725	17929	31462
726	17953	31437
727	17967	31393
728	17989	31363
729	18014	31341
730	18040	31317
731	18051	31270
732	18078	31249
733	18105	31227
734	18132	31207
735	18149	31169
736	18175	31147
737	18201	31124
738	18226	31101
739	18251	31077
740	18277	31054
741	18304	31034
742	18330	31010
743	18356	30988
744	18380	30963
745	18409	30945
746	18434	30921
747	18459	30898
748	18480	30866
749	18506	30843
750	18531	30819
751	18558	30799
752	18582	30773
753	18609	30752
754	18635	30729
755	18661	30708
756	18686	30684
757	18713	30662
758	18740	30641
759	18766	30618
760	18790	30593
761	18816	30570
762	18844	30551
763	18854	30502
764	18878	30477
765	18903	30453
766	18929	30430
767	18961	30417
768	18992	30402
769	19031	30401
770	19064	30390
771	19094	30372
772	19124	30356
773	19155	30341
774	19181	30319
775	19210	30300
776	19238	30281
777	19264	30258
778	19291	30237
779	19318	30215
780	19347	30197
781	19376	30180
782	19391	30139
783	19417	30117
784	19442	30091
785	19468	30069
786	19492	30043
787	19517	30019
788	19541	29993
789	19568	29971
790	19575	29920
791	19601	29897
792	19625	29871
793	19651	29849
794	19676	29824
795	19702	29800
796	19726	29775
797	19752	29752
798	19778	29729
799	19803	29705
800	19828	29680
801	19853	29656
802	19869	29619
803	19895	29596
804	19919	29569
805	19946	29548
806	19971	29524
807	19998	29502
808	20022	29476
809	20048	29453
810	20076	29434
811	20105	29415
812	20132	29393
813	20158	29370
814	20183	29346
815	20209	29323
816	20234	29298
817	20259	29274
818	20284	29249
819	20310	29226
820	20334	29202
821	20361	29179
822	20386	29155
823	20414	29134
824	20439	29111
825	20456	29074
826	20480	29049
827	20506	29026
828	20531	29002
829	20556	28977
830	20581	28953
831	20608	28931
832	20633	28907
833	20658	28882
834	20683	28858
835	20710	28836
