iter	RMSE
144	76369.93255
145	76354.18243
146	76351.77585
147	76338.21738
148	76311.7018
149	76296.72692
150	76294.6884
151	76283.71945
152	76283.60577
153	76261.11653
154	76257.33908
155	76248.91203
156	76248.49661
157	76218.12627
158	76208.46658
159	76199.47828
160	76163.20135
161	76148.87727
162	76138.2476
163	76122.77576
164	76106.47248
165	76103.87515
166	76083.88724
167	76072.44137
168	76052.94974
169	76040.74896
170	76025.82873
171	76013.06297
172	75993.08479
173	75970.94627
174	75943.61802
175	75914.84461
176	75897.92385
177	75891.7138
178	75875.72735
179	75867.66666
180	75866.96691
181	75864.59435
182	75854.92054
183	75845.87794
184	75826.5443
185	75804.46488
186	75800.81822
187	75790.91556
188	75782.42458
189	75767.67175
190	75765.93055
191	75756.68004
192	75744.40962
193	75735.16282
194	75724.23597
195	75717.44076
196	75689.50543
197	75676.10585
198	75672.38896
199	75662.23733
200	75656.66536
201	75646.89581
202	75638.8539
203	75612.09189
204	75588.65981
205	75588.652
206	75577.17468
207	75572.31612
208	75553.93317
209	75547.61127
210	75543.63208
211	75531.92078
212	75527.43558
213	75514.2645
214	75511.49622
215	75499.28411
216	75478.74157
217	75470.15462
218	75440.8347
219	75425.74336
220	75405.3108
221	75369.42198
222	75356.50031
223	75354.15183
224	75336.35952
225	75327.02779
226	75322.84718
227	75321.72908
228	75309.95281
229	75301.31249
230	75292.26729
231	75280.06843
232	75259.0319
233	75255.35832
234	75238.8614
235	75234.21761
236	75214.55567
237	75199.24553
238	75178.21994
239	75161.17677
240	75136.0046
241	75127.21565
242	75118.51719
243	75111.9644
244	75091.14161
245	75089.74572
246	75081.84622
247	75047.13327
248	75034.18119
249	75033.23553
250	75030.10755
251	75013.2525
252	74997.02371
253	74994.82453
254	74992.0074
255	74989.88897
256	74980.44188
257	74963.58987
258	74945.73824
259	74935.2311
260	74932.42294
261	74904.94488
262	74878.75428
263	74871.10246
264	74865.64547
265	74853.84535
266	74846.44833
267	74831.97643
268	74814.71703
269	74791.18204
270	74766.98157
271	74751.15354
272	74733.67304
273	74722.27854
274	74713.55741
275	74695.27596
276	74691.55683
277	74652.4743
278	74649.22355
279	74629.95462
280	74604.41442
281	74596.80935
282	74577.15952
283	74561.18667
284	74545.18096
285	74533.70741
286	74516.80152
287	74503.0239
288	74498.82294
289	74471.36181
290	74450.19946
291	74449.09602
292	74427.15336
293	74411.51666
294	74407.00881
295	74380.57684
296	74365.89623
297	74343.19971
298	74340.46577
299	74337.72233
300	74318.40671
301	74307.44007
302	74305.45695
303	74304.95252
304	74295.53341
305	74287.52491
306	74267.01099
307	74261.87612
308	74246.86555
309	74230.17713
310	74224.26978
311	74213.58426
312	74199.30033
313	74182.59437
314	74175.04384
315	74168.80652
316	74162.99043
317	74152.62746
318	74136.89297
319	74136.03159
320	74116.71183
321	74115.06205
322	74099.33667
323	74089.48115
324	74089.35449
325	74081.00118
326	74077.17858
327	74051.53059
328	74042.93046
329	74039.34496
330	74031.3987
331	74012.92415
332	74005.91848
333	73995.44629
334	73983.71665
335	73977.60611
336	73953.69831
337	73943.46785
338	73932.60014
339	73907.08525
340	73887.56506
341	73877.06709
342	73876.95268
343	73869.01514
344	73860.72181
345	73860.08361
346	73851.554
347	73841.83489
348	73836.82506
349	73827.18992
350	73813.94936
351	73802.7253
352	73784.4916
353	73778.72484
354	73778.25518
355	73767.31909
356	73761.19887
357	73738.01323
358	73732.77254
359	73731.75297
360	73713.73661
361	73712.92024
362	73712.91659
363	73699.74913
364	73677.7767
365	73676.85885
366	73669.71322
367	73665.7968
368	73651.4666
369	73632.35214
370	73622.18114
371	73621.99597
372	73601.95712
373	73581.63391
374	73561.7898
375	73545.78031
376	73542.00738
377	73537.97753
378	73536.31915
379	73514.28023
380	73503.40952
381	73483.97195
382	73472.18104
383	73462.8497
384	73454.29427
385	73439.81459
386	73439.69208
387	73434.19765
388	73426.02609
389	73409.74307
390	73395.74478
391	73382.71953
392	73367.70789
393	73358.91776
394	73354.00957
395	73334.11823
396	73324.53517
397	73308.65273
398	73304.3239
399	73280.32581
400	73264.98555
401	73251.17143
402	73231.69803
403	73227.65099
404	73224.9047
405	73214.02947
406	73195.39025
407	73185.49774
408	73178.34692
409	73166.51771
410	73155.33194
411	73139.31773
412	73120.286
413	73114.20706
414	73112.69806
415	73095.43838
416	73065.85681
417	73061.77917
418	73046.83145
419	73022.0242
420	73003.45653
421	72970.95527
422	72967.49495
423	72960.156
424	72958.60837
425	72950.25617
426	72927.41283
427	72916.73269
428	72901.74535
429	72898.01119
430	72885.41681
431	72882.84128
432	72878.49199
433	72877.9023
434	72876.1255
435	72873.76388
436	72854.008
437	72853.43501
438	72833.13432
439	72811.3479
440	72811.28615
441	72803.67213
442	72794.44564
443	72787.57821
444	72764.5767
445	72761.47355
446	72757.02889
447	72750.27689
448	72726.84818
449	72717.43713
450	72705.54976
451	72694.77245
452	72688.76282
453	72687.97345
454	72668.56425
455	72647.10356
456	72634.79448
457	72618.79531
458	72605.43945
459	72600.05936
460	72596.94683
461	72589.34095
462	72571.92761
463	72551.77008
464	72548.41496
465	72546.63159
466	72527.00061
467	72515.89873
468	72491.14219
469	72487.9818
470	72478.57493
471	72457.44933
472	72442.24117
473	72437.78575
474	72425.37729
475	72406.46322
476	72394.35916
477	72389.70128
478	72388.61765
479	72353.22397
480	72350.36311
481	72341.9158
482	72326.48233
483	72314.79132
484	72292.85174
485	72257.51679
486	72229.70061
487	72221.34297
488	72191.44066
489	72185.92901
490	72160.80243
491	72155.60262
492	72138.12704
493	72133.55515
494	72117.15407
495	72096.81609
496	72096.33996
497	72078.23378
498	72050.70007
499	72041.48121
500	72029.4553
501	72021.002
502	71998.23208
503	71994.55676
504	71988.64349
505	71973.43015
506	71962.08328
507	71937.49346
508	71922.99298
509	71917.72587
510	71916.94608
511	71890.1366
512	71872.30254
513	71866.96135
514	71855.57901
515	71850.5517
516	71835.6253
517	71807.621
518	71799.29126
519	71770.29358
520	71753.37765
521	71746.54178
522	71741.00443
523	71735.30361
524	71722.64419
525	71703.875
526	71693.62251
527	71690.45173
528	71683.82525
529	71669.98675
530	71647.09946
531	71629.91374
532	71618.54009
533	71617.14102
534	71602.4304
535	71597.01785
536	71586.69972
537	71577.87698
538	71574.08427
539	71572.6211
540	71556.60539
541	71547.74151
542	71532.33745
543	71516.06289
544	71515.96506
545	71502.30551
546	71474.4452
547	71470.69526
548	71463.18781
549	71445.49847
550	71443.21855
551	71430.58052
552	71411.18548
553	71402.53596
554	71391.44007
555	71385.51145
556	71375.63748
557	71366.16506
558	71358.70542
559	71350.5524
560	71337.22033
561	71333.55589
562	71323.81392
563	71318.03128
564	71316.39846
565	71298.2315
566	71284.56827
567	71277.07679
568	71272.02503
569	71253.1277
570	71251.66527
571	71223.2647
572	71218.0045
573	71210.16658
574	71203.67422
575	71173.84145
576	71171.63425
577	71169.29588
578	71160.73167
579	71151.29317
